Food_Item,Category,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calories,Total_Macros_g,Carbs_Protein_Ratio,Calorie_Density_Label
Herta Pâte À Pizza Fine Et Ronde 265G,Pizza,49.0,8.7,5.3,1.0,287.5,63.0,5.632177434278812,Medium
Spicy Chicken & 'Nduja Pizza,Pizza,64.2,5.7,25.2,2.1,511.0,95.10000000000001,11.263138134845379,High
Sauce Pizza Star 350 G,Pizza,11.2,1.5,0.1,3.0,52.0,12.799999999999999,7.466616889220738,Low
Ristorante Pizza Vegetale,Pizza,22.0,6.7,7.9,2.0,192.7,36.6,3.283577188690763,Medium
Pâte À Pizza,Pizza,47.0,7.3,1.3,1.8,249.0,55.599999999999994,6.4383473447296655,Medium
Pizza,Pizza,23.0,10.0,12.0,1.6,243.7,45.0,2.2999977000023,Medium
Dolce Pizza Prosciutto,Pizza,27.0,12.0,5.0,2.1,205.0,44.0,2.2499981250015626,Medium
Tomapizza,Pizza,6.5,1.5,1.4,1.2,47.0,9.4,4.333304444637036,Low
Dolce Pizza Regina,Pizza,25.0,10.0,3.7,2.9,179.0,38.7,2.4999975000025,Medium
Ristorante Pizza Tonno,Pizza,23.38,10.0,10.42,1.75,232.4,43.8,2.337997662002338,Medium
Mozzarella Especial Pizza,Pizza,2.7,23.3,15.4,0.0,309.0,41.4,0.11587977859236971,High
Sodebo Dolce Pizza - 4 Formaggi,Pizza,28.0,11.0,7.9,2.9,233.0,46.9,2.5454522314070624,Medium
Pizza 4 Saisons,Pizza,24.0,6.7,7.2,2.7,191.0,37.9,3.582084205844469,Medium
Pizzasauce Aromatica,Pizza,5.4,1.6,0.5,0.0,36.0,7.5,3.374978906381835,Low
Margherita,Pizza,30.0,10.4,6.7,2.3,232.3,47.1,2.8846126109494126,Medium
Pizza Quattro Formaggi,Pizza,24.12,10.59,12.65,1.59,257.0,47.36,2.277618245875122,Medium
"Pizza N°3 - Légumes, Pesto, Parmesano Reggiano",Pizza,30.0,6.1,5.2,1.7,195.0,41.300000000000004,4.918024724549633,Medium
Pizza Del Gusto Mozzarella Tomates,Pizza,30.0,8.3,6.6,2.7,218.0,44.9,3.614453476562076,Medium
Pinsa 230G,Pizza,45.0,9.0,5.4,3.1,271.0,59.4,4.999994444450618,Medium
Bruschette Chips Pizza Flavour,Pizza,71.0,9.1,14.0,2.3,453.0,94.1,7.802189228363486,High
Sauce Tomate Au Basilic,Pizza,6.4,1.5,3.2,2.4,65.0,11.100000000000001,4.26663822241185,Low
"Pizza N°6 - Jambon, Speck, Roquette, Mozzarella",Pizza,24.0,12.0,7.2,2.3,212.0,43.2,1.9999983333347222,Medium
Pâte À Pizza Fine Et Ronde,Pizza,46.0,7.2,6.7,1.6,292.0,59.900000000000006,6.388880015444423,Medium
Pizza Base With Tomato Sauce,Pizza,41.0,7.0,3.4,2.4,227.0,51.4,5.857134489807872,Medium
Pizza Del Gusto Chorizo,Pizza,32.0,9.7,7.1,2.1,237.9,48.800000000000004,3.2989656711694115,Medium
Chips Pizza 125G Bret'S,Pizza,53.0,6.0,31.0,5.0,525.0,90.0,8.833318611135649,High
Pizza Sauce,Pizza,7.8,1.9,0.0,2.0,45.0,9.7,4.105241551360256,Low
Ristorante Pizza Royale,Pizza,23.0,11.0,9.4,2.2,223.0,43.4,2.0909071900843728,Medium
"Pizza Margherita Tomate, Mozzarella",Pizza,29.0,9.6,7.6,2.6,227.0,46.2,3.0208301866352225,Medium
"Sauce Tomate Pour Pizza, Pâte Ou Riz",Pizza,8.6,1.3,2.9,1.7,69.0,12.8,6.61533372820209,Low
Quiche Lorraine Pur Beurre,Pizza,18.0,8.1,15.0,0.6,241.0,41.1,2.2222194787413843,Medium
Sauce Pizza,Pizza,9.97,1.76,0.3,2.0,49.0,12.030000000000001,5.664740541246925,Low
Mini Pizza Complete,Pizza,52.3,8.4,4.9,6.7,287.0,65.6,6.22618306406778,Medium
Pizza Crust Cheesy 4 Fromages,Pizza,25.0,11.0,7.4,2.5,216.0,43.4,2.2727252066134485,Medium
Tartes Courgette Tomate Fêta,Pizza,18.0,5.3,13.0,2.9,216.0,36.3,3.3962200071320625,Medium
Dolce Pizza Campanella,Pizza,28.0,14.0,6.1,2.7,228.0,48.1,1.9999985714295918,Medium
Pizza Fiorentina,Pizza,29.0,8.8,8.4,1.8,232.4,46.199999999999996,3.29545080062409,Medium
Pizza Delamama La Royale Pouleto,Pizza,29.0,10.0,11.0,2.1,259.0,50.0,2.8999971000029,Medium
Schar Maestro Cereale,Pizza,38.0,4.5,6.6,9.9,249.0,49.1,8.444425679054048,Medium
Pate A Pizza Bio 260G,Pizza,46.0,8.0,6.0,2.3,274.6,60.0,5.749992812508984,Medium
Pizza Tomates Mozzarella,Pizza,28.0,11.0,9.1,2.3,243.0,48.1,2.5454522314070624,Medium
Sodebo Pizza Crust - Classic,Pizza,26.0,11.0,7.2,2.8,217.0,44.2,2.3636342148779868,Medium
"Pizza N°18 - Thon, Tomate, Olive",Pizza,26.0,10.0,6.6,2.8,207.0,42.6,2.5999974000026,Medium
Per Pizza Gratugiato,Pizza,22.0,0.0,24.0,0.0,306.7,46.0,2200000.0,High
"Pizza N°14 - Tomate, Poulet Mariné, Artichaut",Pizza,26.0,9.3,5.5,2.6,196.0,40.8,2.795695918606539,Medium
Pizza Six Fromagio,Pizza,29.0,11.0,11.0,2.0,263.0,51.0,2.6363612396716003,Medium
Pizza 3 Fromages,Pizza,26.0,12.0,12.0,2.5,266.0,50.0,2.166664861112616,Medium
Pizza Base - Fonds De Pizza (,Pizza,60.0,3.0,3.5,4.7,291.0,66.5,19.999933333555553,Medium
Ristorante Mozzarella (Dr. Oetker),Pizza,23.0,10.0,11.0,2.0,240.0,44.0,2.2999977000023,Medium
Pizza Regina,Pizza,27.0,9.0,4.8,2.9,193.0,40.8,2.9999966666703703,Medium
Margherita Pizzetta,Pizza,29.31,10.5,8.39,2.2,239.0,48.2,2.791425912927702,Medium
Kit Pizza,Pizza,30.0,6.8,3.6,1.5,192.0,40.4,4.411758218002621,Medium
Pizza Jambon Supérieur Champignons Mozzarella,Pizza,27.0,11.0,8.5,2.1,233.0,46.5,2.4545432231425246,Medium
Cmo Royale 400G Jambon - Mozzarella - Emmental Présente En X3,Pizza,32.0,11.0,6.2,2.1,232.0,49.2,2.9090882644652143,Medium
Tielles Sétoises,Pizza,34.0,7.5,14.0,0.0,297.0,55.5,4.533327288896948,Medium
Pizza Del Gusto Chèvre Miel,Pizza,31.0,9.9,10.0,2.0,258.0,50.9,3.1313099683737695,Medium
Anitines Panes Especiales Pizza,Pizza,50.0,13.0,26.0,4.7,493.0,89.0,3.8461508875762402,High
Boule À Pizza,Pizza,47.0,7.2,0.5,1.4,225.0,54.7,6.527768711432345,Medium
Regina Sourdough Pizza Ham Mushroom & Mozzarella,Pizza,29.0,10.0,7.7,1.8,229.2,46.7,2.8999971000029,Medium
Flammekueche,Pizza,28.0,7.2,11.0,1.3,242.0,46.2,3.888883487661823,Medium
Pizza Crust Buffalo,Pizza,24.0,10.0,7.3,4.1,210.0,41.3,2.3999976000024,Medium
Tarte Poireaux,Pizza,20.8,5.2,12.2,1.6,217.0,38.2,3.999992307707101,Medium
"Higgidy Spinach,Feta & Roasted Pepper Quiche 400G",Pizza,21.0,7.3,13.0,2.2,230.0,41.3,2.8767083880707016,Medium
Ristorante Pizza Spinaci,Pizza,21.0,7.1,11.0,1.9,221.0,39.1,2.957742313038996,Medium
Pate A Pizza 260G,Pizza,48.0,6.5,6.9,1.6,287.0,61.4,7.3846040236861175,Medium
Mini Pizza Nature,Pizza,54.0,9.8,7.2,0.0,321.0,71.0,5.510198458981164,High
Margherita Pizza,Pizza,30.0,10.4,7.3,2.3,231.7,47.699999999999996,2.8846126109494126,Medium
Tarte Saumon Poireaux,Pizza,21.0,7.8,10.0,1.2,208.0,38.8,2.6923042406355893,Medium
Pain Pizza,Pizza,52.3,8.4,4.9,6.7,287.0,65.6,6.22618306406778,Medium
2 Tartes Aux Poireaux,Pizza,19.0,7.2,12.0,1.5,216.0,38.2,2.6388852237705227,Medium
2 Flammekueches D'Alsace,Pizza,25.0,9.5,15.0,2.4,278.0,49.5,2.6315761772882347,Medium
Pate À Pizza Xxl Fine&Rectangulaire,Pizza,47.0,6.9,6.1,2.4,290.0,60.0,6.811584331037201,Medium
Pate A Pizza Xxl Pizzeria,Pizza,45.0,6.9,2.3,1.1,244.0,54.199999999999996,6.5217296786526395,Medium
Ma Pâte À Pizza,Pizza,68.6,9.8,1.1,4.2,332.0,79.49999999999999,6.999992857150145,High
Flammekueche Crème Fraîche - Lardon - Oignon,Pizza,22.0,6.1,15.0,1.0,251.0,43.1,3.6065514646697303,Medium
Pizza 4 Fromages,Pizza,24.0,14.0,9.9,1.3,241.0,47.9,1.714284489796793,Medium
"Dolce Pizza Napoli Mozzarella, Poulet, Poivrons Grillés & Pesto",Pizza,28.0,10.0,7.3,2.6,222.0,45.3,2.7999972000028,Medium
Pizza Légumes Grillés,Pizza,28.0,7.7,6.3,2.1,205.0,42.0,3.6363589138195924,Medium
Pâte À Pizza Bio Au Levain,Pizza,45.0,7.8,5.2,2.8,258.0,58.0,5.769223372790548,Medium
Dolce Pizza Bianca,Pizza,30.0,10.0,8.5,2.6,242.0,48.5,2.9999970000030003,Medium
Flammekueche L'Originale,Pizza,30.0,7.8,11.0,1.6,254.0,48.8,3.846148915193699,Medium
"Pizza N°9 - Bœuf, Merguez, Sauce Salsa",Pizza,24.0,10.0,7.8,2.5,211.0,41.8,2.3999976000024,Medium
Pâte À Pizza Épaisse Rectangulaire,Pizza,46.0,7.0,7.0,1.9,291.0,60.0,6.5714191836868805,Medium
Stromboli,Pizza,18.17,10.07,9.4,0.85,262.5,37.64,1.8043676222764429,Medium
Pizza Del Gusto Montagnarde,Pizza,29.0,10.0,12.0,2.0,268.0,51.0,2.8999971000029,Medium
La Numero Uno Prosciutto & Funghi,Pizza,24.0,9.9,6.4,1.6,196.0,40.3,2.4242399755151762,Medium
Pâte À Pizza Prête À Dérouler,Pizza,46.0,7.2,6.7,1.6,276.3,59.900000000000006,6.388880015444423,Medium
Prince Goût Chocolat Au Blé Complet,Sandwich,69.0,6.3,17.0,4.0,467.0,92.3,10.952363567676878,High
Fourrés Chocolat Noir,Sandwich,66.0,7.6,19.0,5.2,476.0,92.6,8.684199099738027,High
Pain De Mie American Sandwich Complet Sans Sucres Ajoutés 600G,Sandwich,43.0,7.7,6.8,8.1,280.0,57.5,5.584408331937231,Medium
Pain De Mie Grandes Tranches Spécial Sandwich Complet,Sandwich,43.0,8.3,4.5,6.3,258.7,55.8,5.180716649738976,Medium
Pain De Mie American Sandwich Rustique Sans Sucres Ajoutés 500G,Sandwich,40.0,11.0,8.0,8.7,293.0,59.0,3.636360330581518,Medium
American Sandwich Nature,Sandwich,47.0,7.4,6.0,5.5,283.0,60.4,6.351342768455718,Medium
American Sandwich Céréales,Sandwich,42.0,9.0,6.5,7.6,278.0,57.5,4.666661481487243,Medium
Pain De Mie American Sandwich Complet Sans Sucres Ajoutés Maxi 900G,Sandwich,43.0,7.7,6.8,8.1,280.0,57.5,5.584408331937231,Medium
Pain Mie Sandwich Bio* Complet Sans Sucres Ajoutés 500G,Sandwich,38.0,10.0,5.1,6.9,252.0,53.1,3.7999962000038003,Medium
Sandwich Zero Sin Azúcares,Sandwich,67.0,7.0,18.0,7.8,434.0,92.0,9.571414897978718,High
Pain De Mie American Sandwich Nature Sans Sucres Ajoutés Maxi 825G,Sandwich,47.0,7.4,6.0,5.5,283.0,60.4,6.351342768455718,Medium
Wraps Au Blé Nature,Sandwich,54.0,8.0,7.0,4.3,314.0,69.0,6.749991562510547,High
Pain Mie Sandwich Bio* Cereales 500G,Sandwich,44.0,9.3,7.7,4.7,292.0,61.0,4.731177708411066,Medium
"Bn - Strawberry Cookies, 285G (10Oz)",Sandwich,75.0,5.3,8.4,2.5,398.0,88.7,14.150916696383593,High
Maxi Cheese Burger,Sandwich,20.0,13.0,13.0,0.0,256.0,46.0,1.5384603550304963,Medium
Pain De Mie Sandwich Complet 550G,Sandwich,42.0,8.4,5.2,7.0,262.0,55.6,4.999994047626134,Medium
Gluten Free Sandwich Chocolate,Sandwich,63.0,5.7,21.0,6.5,477.0,89.7,11.052612188399669,High
Fourrés Goût Citron,Sandwich,68.0,7.4,20.0,3.1,488.0,95.4,9.18917677138274,High
Oreo Double Creme,Sandwich,67.0,4.3,22.0,2.3,492.0,93.3,15.581359113118344,High
Pain Suédois Poulet Rôti Œuf,Sandwich,30.0,9.5,12.0,3.0,272.0,51.5,3.1578914127458813,Medium
Original,Sandwich,68.0,5.3,20.0,2.7,476.0,93.3,12.830164471387791,High
Xxl Poulet Rôti Crudités,Sandwich,28.0,8.1,8.8,3.4,224.0,44.900000000000006,3.4567858558199314,Medium
Sandwich Mega Viennois Poulet Rôti Oeuf,Sandwich,30.0,9.8,14.0,2.8,294.0,53.8,3.061221366100647,Medium
Pain De Mie Sandwich Complet 825G,Sandwich,42.0,8.5,5.8,6.9,268.0,56.3,4.9411706574462855,Medium
Pain De Mie American Sandwich Nature Tranches Épaisses Sans Sucres Ajoutés 550G,Sandwich,47.0,7.4,6.0,5.5,283.0,60.4,6.351342768455718,Medium
Pain De Mie Spécial Sandwich Nature Grandes Tranches,Sandwich,49.0,7.2,5.8,3.6,284.0,62.0,6.80554610340819,Medium
Méga Poulet Rôti Mayo Légère X3,Sandwich,27.0,9.3,12.0,3.3,260.0,48.3,2.9032226847067903,Medium
Sandwich Sabor Yogurt,Sandwich,65.0,7.0,17.0,7.7,418.2,89.0,9.285701020427114,High
Suédois - Duo De Saumon,Sandwich,33.0,8.1,14.0,3.6,298.0,55.1,4.074069044359205,Medium
Sandwich Le Méga Baguette Thon Oeuf Sauce Cocktail,Sandwich,26.0,11.0,12.0,1.9,260.0,49.0,2.3636342148779868,Medium
Sandwich Moelleux Thon Oeuf Crudités Sauce Cocktail,Sandwich,30.0,8.9,6.4,1.6,217.0,45.3,3.3707827294576074,Medium
Hamburger Cheddar Fromage Fondu Au Cheddar,Sandwich,7.6,19.0,17.0,0.0,259.0,43.6,0.399999789473795,Medium
Biscuit Cacaoté Fourré Saveur Vanille,Sandwich,65.0,4.8,20.0,7.0,436.0,89.8,13.541638454919887,High
Sandwichs Choc,Sandwich,70.2,3.81,8.8,0.0,375.0,82.81,18.42514849042391,High
Sandwich Sabor Yogurt Con Avena Y Frutos Rojos,Sandwich,6.0,8.0,15.0,8.0,435.0,29.0,0.7499990625011719,High
Queso Fundido Sandwich,Sandwich,9.9,17.0,20.0,0.0,288.0,46.9,0.5823525986161185,Medium
Fromage Tranches Pour Sandwich,Sandwich,9.0,8.0,22.0,0.0,266.0,39.0,1.124998593751758,Medium
Méga Thon Oeuf Pain Viennois,Sandwich,27.0,9.9,14.0,2.4,278.0,50.9,2.7272699724545735,Medium
Sandwich Les Minis Jambon Emmental,Sandwich,29.0,12.0,11.0,0.0,264.0,52.0,2.416664652779456,Medium
Tendre Croc' L'Original Jambon Et Fromage X2,Sandwich,29.0,12.0,11.0,1.5,266.0,52.0,2.416664652779456,Medium
اوريو اوريجنال ١٧٦ جرام,Sandwich,68.0,5.3,20.0,2.7,472.0,93.3,12.830164471387791,High
Suédois Jambon Cheddar,Sandwich,31.0,11.0,15.0,3.2,309.0,57.0,2.8181792562006764,High
Sandwich Le Gourmand Club - Saumon Fumé Pointe De Citron,Sandwich,23.0,8.0,9.2,1.9,211.0,40.2,2.874996406254492,Medium
Oreo Original,Sandwich,67.0,5.6,19.0,2.9,472.0,91.6,11.96426434952795,High
Sandwich De Avellana Con Avena Y Chips De Chocolate Vitalday,Sandwich,59.0,7.2,19.0,9.0,459.0,85.2,8.194433063287413,High
Biscuits Fourrés Chocolat Noir Bio Village,Sandwich,68.0,7.2,16.0,4.7,459.0,91.2,9.444431327178712,High
Végétal & Bon - Le British,Sandwich,32.0,7.8,10.0,2.7,259.0,49.8,4.102558842873279,Medium
Xxl Poulet Rôti Mayonnaise,Sandwich,26.0,9.7,12.0,3.3,259.0,47.7,2.6804096078251467,Medium
Biscuits Fourrage Cacaoté,Sandwich,65.0,8.4,21.0,4.3,491.0,94.4,7.738086026088064,High
Xxl Jambon Emmental,Sandwich,26.0,9.7,13.0,3.3,264.0,48.7,2.6804096078251467,Medium
Oreo Original Night Twist,Sandwich,68.0,5.3,20.0,2.7,476.0,93.3,12.830164471387791,High
Sandwich Thon Oeuf Crudites Xxl,Sandwich,26.0,9.3,6.2,3.2,863.0,41.5,2.795695918606539,High
Le Moelleux Poulet Rôti Crudités Mayonnaise Légère,Sandwich,29.13,8.7,9.57,0.7,239.1,47.4,3.3482720134804445,Medium
Pain Sandwich Nature Biologique 500G,Sandwich,51.0,8.0,5.0,2.1,285.0,64.0,6.3749920312599615,Medium
Wrap Blé Nature,Sandwich,53.2,9.1,5.2,1.6,299.0,67.5,5.8461474218160205,Medium
Tendre Croc’ Le Comtois,Sandwich,27.0,12.0,11.0,1.5,258.0,50.0,2.2499981250015626,Medium
Poulet Rôti Mayonnaise,Sandwich,25.0,9.8,14.0,3.2,273.1,48.8,2.5510178050838723,Medium
Goûters Bn Au Chocolat,Sandwich,69.0,6.5,17.0,3.9,463.0,92.5,10.615368284048794,High
Sandwich Sotille Integral,Sandwich,42.0,10.0,4.1,4.3,270.6,56.1,4.1999958000042,Medium
Poulet Tandoori,Sandwich,36.0,10.0,9.7,3.9,206.7,55.7,3.5999964000036,Medium
Pain De Mie Sandwich Nature 550G,Sandwich,49.0,7.4,4.7,3.2,274.0,61.1,6.621612673496387,Medium
Jambon Emmental,Sandwich,26.0,11.0,8.2,0.0,227.0,45.2,2.3636342148779868,Medium
Le Chicken Cheddar Wrap,Sandwich,32.0,9.1,12.0,0.0,274.0,53.1,3.5164796522201627,Medium
Wraps De Blé Souples X6 370G,Sandwich,55.0,9.4,7.3,2.3,326.0,71.7,5.851057605257867,High
Sandwich De Cacao Con Crema,Sandwich,75.0,5.0,16.88,9.06,409.5,96.88,14.999970000060001,High
Vollkorntoast,Sandwich,42.0,8.5,4.6,6.5,239.0,55.1,4.9411706574462855,Medium
Fourrés Duo Cacao,Sandwich,64.0,9.0,21.0,5.2,491.0,94.0,7.111103209885322,High
Sandwich Simple & Bon ! - Jambon Emmental,Sandwich,25.0,12.0,12.0,2.3,260.6,49.0,2.083331597223669,Medium
Caocream Chocolate Blanco,Sandwich,65.0,4.9,25.0,2.2,509.0,94.9,13.265279050450918,High
Croc Break,Sandwich,70.0,5.7,17.0,4.4,465.0,92.7,12.280680209332967,High
Prince Pocket - Biscuits Fourrés Parfum Chocolat,Sandwich,68.0,6.5,17.5,4.2,465.0,92.0,10.461522366888667,High
Chocolate Os,Sandwich,62.0,6.6,24.0,4.1,498.8,92.6,9.393925160719455,High
Minis Tartinades Thon Fromage Frais Ciboulette,Sandwich,30.0,10.0,12.0,1.4,273.0,52.0,2.9999970000030003,Medium
Méga Jambon Emmental X3,Sandwich,27.0,10.0,13.0,3.7,272.0,50.0,2.6999973000027,Medium
Biscuits Fourrés Chocolat Au Lait,Sandwich,71.0,7.5,16.0,3.4,465.0,94.5,9.466654044461274,High
Sandwich Nature- Natuur X8,Sandwich,49.5,8.1,9.0,4.9,321.0,66.6,6.111103566538807,High
Bn Gout Chocolat,Sandwich,69.0,6.5,17.0,3.9,463.0,92.5,10.615368284048794,High
Cocoa Sandwich Biscuits With Vanilla Flavoured Crème Filling,Sandwich,65.11,5.11,22.0,0.0,484.4,92.22,12.741658039808142,High
Chessy Chèvre Pané Oignons Frits,Sandwich,37.0,7.6,14.0,2.2,310.0,58.6,4.868414646822834,High
Pain Sandwich Complet,Sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
Goûter Fourrés Cacao,Sandwich,67.0,8.6,19.0,3.2,480.0,94.6,7.790688615478355,High
Les Minis Maxi Moelleux Poulet Emmental,Sandwich,29.0,12.0,10.0,0.0,257.0,51.0,2.416664652779456,Medium
Coeur De Cereales Fruits Rouge Et Yaourt,Sandwich,63.0,8.0,15.0,8.0,435.0,86.0,7.874990156262305,High
Sandwich Le Suédois Végétal,Sandwich,34.0,9.7,7.0,4.0,244.0,50.7,3.5051510256175,Medium
Wrap De Poulet Pané Cheddar Sauce Big Burger,Sandwich,36.0,9.7,11.0,1.8,285.0,56.7,3.711336380065588,Medium
Chèvre Tranches,Sandwich,0.0,21.0,34.0,0.0,392.0,55.0,0.0,High
Wraps Blé Nature,Sandwich,53.2,9.1,5.2,1.6,299.0,67.5,5.8461474218160205,Medium
Fourrés Cacao,Sandwich,64.0,8.4,20.0,4.3,476.0,92.4,7.6190385487636325,High
Sandwich Le Méga Poulet Rôti Sauce Kébab,Sandwich,28.0,9.8,12.0,3.2,266.0,49.8,2.857139941693937,Medium
Körner Balance Sandwich,Sandwich,39.5,8.68,6.05,6.05,257.9,54.23,4.5506860015138235,Medium
Club Sandwich Thon Crudités,Sandwich,22.0,9.6,6.2,3.7,190.2,37.800000000000004,2.2916642795163757,Medium
Spécial Sandwich Complet,Sandwich,47.2,10.5,3.3,4.9,261.0,61.0,4.495233814063035,Medium
Harry Dinkel Sandwich 4071800047812 Dinkelsandwichbrot,Sandwich,42.0,10.0,3.0,5.1,244.7,55.0,4.1999958000042,Medium
Sandwich Chocolate,Sandwich,63.0,5.7,21.0,6.5,477.0,89.7,11.052612188399669,High
Pain De Mie Sandwich Nature,Sandwich,49.9,7.1,5.1,3.0,278.2,62.1,7.028159115268852,Medium
Vitalday Sandwich De Avena Con Chocolate,Sandwich,61.0,7.2,18.0,9.0,447.0,86.2,8.472210455263257,High
Wrap Poulet Rôti Crudités,Sandwich,30.0,8.2,11.0,1.9,256.0,49.2,3.658532123741313,Medium
Ghani,Yogurt,13.3,3.2,1.6,0.0,80.0,18.1,4.156237011759338,Low
Kéfir Natural Sabor Suave,Yogurt,5.1,3.9,4.2,0.0,74.0,13.2,1.307688954643706,Low
Yogurt Greek Style,Yogurt,3.2,4.6,10.0,0.5,96.2,17.8,0.6956506616289966,Low
Dan Up,Yogurt,8.65,1.41,0.71,0.0,46.5,10.77,6.134708264480394,Low
Danone-Peche,Yogurt,14.3,3.4,2.7,0.0,95.0,20.4,4.205869982735345,Low
Dessert Gourmand Choco,Yogurt,31.67,3.33,10.0,1.67,233.3,45.0,9.510481950504653,Medium
Framboise Délicate,Yogurt,12.1,3.8,2.8,0.0,90.0,18.7,3.184202146836456,Low
Activia Ananas Fraise,Yogurt,9.6,2.7,1.2,0.0,60.0,13.5,3.555542386880048,Low
Strawberry Yogurt,Yogurt,8.1,3.6,2.1,1.0,68.0,13.799999999999999,2.249993750017361,Low
ديليسيوس بيرلي,Yogurt,19.4,6.4,6.7,0.0,163.6,32.5,3.0312452636792755,Medium
Yogurt Bnine Banana,Yogurt,14.3,3.9,1.7,0.0,88.1,19.9,3.6666572649813722,Low
Griego Ligero Natural,Yogurt,4.7,5.8,2.0,0.0,60.0,12.5,0.8103434304423615,Low
Yaourt Grec 10%Mg,Yogurt,3.8,6.5,10.0,0.0,134.0,20.3,0.5846144852084842,Medium
Actimel,Yogurt,13.0,1.9,1.8,0.0,74.0,16.7,6.842069252267094,Low
Greek Style Natural Light 2% Fat,Yogurt,4.0,6.0,2.0,0.0,58.4,12.0,0.6666655555574075,Low
Creamy Greek Style Natural Yogurt,Yogurt,4.6,4.1,10.0,0.5,126.4,18.7,1.1219484830524804,Medium
Ladid,Yogurt,17.5,3.2,1.4,0.0,95.0,22.099999999999998,5.468732910209655,Low
Yogur Natural Al Estilo Griego,Yogurt,3.9,3.9,10.8,0.0,103.2,18.6,0.9999974359040105,Medium
"Alpro Fermentiertes Kokosnussprodukt, Natur, Absolutely 350G",Yogurt,4.5,0.6,6.0,0.0,77.0,11.1,7.499875002083299,Low
Natural Con Coco,Yogurt,2.4,3.9,3.0,0.8,54.0,9.3,0.615383037479391,Low
Yogur Griego Ligero,Yogurt,4.7,5.8,2.0,0.0,48.0,12.5,0.8103434304423615,Low
Hipro Saveur Vanille-Cookie,Yogurt,5.5,8.3,0.5,0.0,60.0,14.3,0.6626498040363806,Low
Yaourt Chèvre Nature,Yogurt,4.2,4.1,4.9,0.0,77.0,13.200000000000001,1.024387745395743,Low
Daya Ananas Coco,Yogurt,15.1,2.4,1.2,0.0,74.0,18.7,6.291640451498119,Low
Total 0% Fat,Yogurt,3.0,10.3,0.0,0.0,54.0,13.3,0.2912618531438319,Low
Fermented Coconut Yoghurt Alternative,Yogurt,5.9,1.2,10.0,1.0,71.1,17.1,4.916625694785877,Low
Activia,Yogurt,9.9,2.7,1.2,1.5,64.0,13.8,3.66665308647005,Low
Nature,Yogurt,4.28,3.5,1.9,0.0,48.0,9.68,1.2228536489895743,Low
Kéfir Saveur Myrtille,Yogurt,8.0,3.1,3.1,0.0,72.0,14.2,2.5806368366553656,Low
Kefir Natural Fermented Yogurt,Yogurt,5.4,4.7,2.1,0.0,64.0,12.200000000000001,1.1489337256729242,Low
Greek 0% Fat Authentic Greek Yogurt,Yogurt,3.9,10.4,0.0,0.0,57.0,14.3,0.3749996394234236,Low
