Food_Item,Category,Carbohydrates_g,Protein_g,Fat_g,Fiber_g,Calories
Ma Pâte À Pizza,Pizza,68.6,9.8,1.1,4.2,332.0
Flammekueche Crème Fraîche - Lardon - Oignon,Pizza,22.0,6.1,15.0,1.0,251.0
Pizza 4 Fromages,Pizza,24.0,14.0,9.9,1.3,241.0
"Dolce Pizza Napoli Mozzarella, Poulet, Poivrons Grillés & Pesto",Pizza,28.0,10.0,7.3,2.6,222.0
Pizza Légumes Grillés,Pizza,28.0,7.7,6.3,2.1,205.0
Pâte À Pizza Bio Au Levain,Pizza,45.0,7.8,5.2,2.8,258.0
Dolce Pizza Bianca,Pizza,30.0,10.0,8.5,2.6,242.0
Flammekueche L'Originale,Pizza,30.0,7.8,11.0,1.6,254.0
"Pizza N°9 - Bœuf, Merguez, Sauce Salsa",Pizza,24.0,10.0,7.8,2.5,211.0
Pâte À Pizza Épaisse Rectangulaire,Pizza,46.0,7.0,7.0,1.9,291.0
Stromboli,Pizza,18.17,10.07,9.4,0.85,262.5
Pizza Del Gusto Montagnarde,Pizza,29.0,10.0,12.0,2.0,268.0
La Numero Uno Prosciutto & Funghi,Pizza,24.0,9.9,6.4,1.6,196.0
Pâte À Pizza Prête À Dérouler,Pizza,46.0,7.2,6.7,1.6,276.3
Prince Goût Chocolat Au Blé Complet,Sandwich,69.0,6.3,17.0,4.0,467.0
Fourrés Chocolat Noir,Sandwich,66.0,7.6,19.0,5.2,476.0
Pain De Mie American Sandwich Complet Sans Sucres Ajoutés 600G,Sandwich,43.0,7.7,6.8,8.1,280.0
Pain De Mie Grandes Tranches Spécial Sandwich Complet,Sandwich,43.0,8.3,4.5,6.3,258.7
Pain De Mie American Sandwich Rustique Sans Sucres Ajoutés 500G,Sandwich,40.0,11.0,8.0,8.7,293.0
American Sandwich Nature,Sandwich,47.0,7.4,6.0,5.5,283.0
American Sandwich Céréales,Sandwich,42.0,9.0,6.5,7.6,278.0
Pain De Mie American Sandwich Complet Sans Sucres Ajoutés Maxi 900G,Sandwich,43.0,7.7,6.8,8.1,280.0
Pain Mie Sandwich Bio* Complet Sans Sucres Ajoutés 500G,Sandwich,38.0,10.0,5.1,6.9,252.0
Sandwich Zero Sin Azúcares,Sandwich,67.0,7.0,18.0,7.8,434.0
Pain De Mie American Sandwich Nature Sans Sucres Ajoutés Maxi 825G,Sandwich,47.0,7.4,6.0,5.5,283.0
Wraps Au Blé Nature,Sandwich,54.0,8.0,7.0,4.3,314.0
Pain Mie Sandwich Bio* Cereales 500G,Sandwich,44.0,9.3,7.7,4.7,292.0
"Bn - Strawberry Cookies, 285G (10Oz)",Sandwich,75.0,5.3,8.4,2.5,398.0
Maxi Cheese Burger,Sandwich,20.0,13.0,13.0,0.0,256.0
Pain De Mie Sandwich Complet 550G,Sandwich,42.0,8.4,5.2,7.0,262.0
Gluten Free Sandwich Chocolate,Sandwich,63.0,5.7,21.0,6.5,477.0
Fourrés Goût Citron,Sandwich,68.0,7.4,20.0,3.1,488.0
Oreo Double Creme,Sandwich,67.0,4.3,22.0,2.3,492.0
Pain Suédois Poulet Rôti Œuf,Sandwich,30.0,9.5,12.0,3.0,272.0
Original,Sandwich,68.0,5.3,20.0,2.7,476.0
Xxl Poulet Rôti Crudités,Sandwich,28.0,8.1,8.8,3.4,224.0
Sandwich Mega Viennois Poulet Rôti Oeuf,Sandwich,30.0,9.8,14.0,2.8,294.0
Pain De Mie Sandwich Complet 825G,Sandwich,42.0,8.5,5.8,6.9,268.0
Pain De Mie American Sandwich Nature Tranches Épaisses Sans Sucres Ajoutés 550G,Sandwich,47.0,7.4,6.0,5.5,283.0
Pain De Mie Spécial Sandwich Nature Grandes Tranches,Sandwich,49.0,7.2,5.8,3.6,284.0
Méga Poulet Rôti Mayo Légère X3,Sandwich,27.0,9.3,12.0,3.3,260.0
Sandwich Sabor Yogurt,Sandwich,65.0,7.0,17.0,7.7,418.2
Suédois - Duo De Saumon,Sandwich,33.0,8.1,14.0,3.6,298.0
Sandwich Le Méga Baguette Thon Oeuf Sauce Cocktail,Sandwich,26.0,11.0,12.0,1.9,260.0
Sandwich Moelleux Thon Oeuf Crudités Sauce Cocktail,Sandwich,30.0,8.9,6.4,1.6,217.0
Hamburger Cheddar Fromage Fondu Au Cheddar,Sandwich,7.6,19.0,17.0,0.0,259.0
Biscuit Cacaoté Fourré Saveur Vanille,Sandwich,65.0,4.8,20.0,7.0,436.0
Sandwichs Choc,Sandwich,70.2,3.81,8.8,0.0,375.0
Sandwich Sabor Yogurt Con Avena Y Frutos Rojos,Sandwich,6.0,8.0,15.0,8.0,435.0
Queso Fundido Sandwich,Sandwich,9.9,17.0,20.0,0.0,288.0
Fromage Tranches Pour Sandwich,Sandwich,9.0,8.0,22.0,0.0,266.0
Méga Thon Oeuf Pain Viennois,Sandwich,27.0,9.9,14.0,2.4,278.0
Sandwich Les Minis Jambon Emmental,Sandwich,29.0,12.0,11.0,0.0,264.0
Tendre Croc' L'Original Jambon Et Fromage X2,Sandwich,29.0,12.0,11.0,1.5,266.0
اوريو اوريجنال ١٧٦ جرام,Sandwich,68.0,5.3,20.0,2.7,472.0
Suédois Jambon Cheddar,Sandwich,31.0,11.0,15.0,3.2,309.0
Sandwich Le Gourmand Club - Saumon Fumé Pointe De Citron,Sandwich,23.0,8.0,9.2,1.9,211.0
Oreo Original,Sandwich,67.0,5.6,19.0,2.9,472.0
Sandwich De Avellana Con Avena Y Chips De Chocolate Vitalday,Sandwich,59.0,7.2,19.0,9.0,459.0
Biscuits Fourrés Chocolat Noir Bio Village,Sandwich,68.0,7.2,16.0,4.7,459.0
Végétal & Bon - Le British,Sandwich,32.0,7.8,10.0,2.7,259.0
Xxl Poulet Rôti Mayonnaise,Sandwich,26.0,9.7,12.0,3.3,259.0
Biscuits Fourrage Cacaoté,Sandwich,65.0,8.4,21.0,4.3,491.0
Xxl Jambon Emmental,Sandwich,26.0,9.7,13.0,3.3,264.0
Oreo Original Night Twist,Sandwich,68.0,5.3,20.0,2.7,476.0
Sandwich Thon Oeuf Crudites Xxl,Sandwich,26.0,9.3,6.2,3.2,863.0
Le Moelleux Poulet Rôti Crudités Mayonnaise Légère,Sandwich,29.13,8.7,9.57,0.7,239.1
Pain Sandwich Nature Biologique 500G,Sandwich,51.0,8.0,5.0,2.1,285.0
Wrap Blé Nature,Sandwich,53.2,9.1,5.2,1.6,299.0
Tendre Croc’ Le Comtois,Sandwich,27.0,12.0,11.0,1.5,258.0
Poulet Rôti Mayonnaise,Sandwich,25.0,9.8,14.0,3.2,273.1
Goûters Bn Au Chocolat,Sandwich,69.0,6.5,17.0,3.9,463.0
Sandwich Sotille Integral,Sandwich,42.0,10.0,4.1,4.3,270.6
Poulet Tandoori,Sandwich,36.0,10.0,9.7,3.9,206.7
Pain De Mie Sandwich Nature 550G,Sandwich,49.0,7.4,4.7,3.2,274.0
Jambon Emmental,Sandwich,26.0,11.0,8.2,0.0,227.0
Le Chicken Cheddar Wrap,Sandwich,32.0,9.1,12.0,0.0,274.0
Wraps De Blé Souples X6 370G,Sandwich,55.0,9.4,7.3,2.3,326.0
Sandwich De Cacao Con Crema,Sandwich,75.0,5.0,16.88,9.06,409.5
Vollkorntoast,Sandwich,42.0,8.5,4.6,6.5,239.0
Fourrés Duo Cacao,Sandwich,64.0,9.0,21.0,5.2,491.0
Sandwich Simple & Bon ! - Jambon Emmental,Sandwich,25.0,12.0,12.0,2.3,260.6
Caocream Chocolate Blanco,Sandwich,65.0,4.9,25.0,2.2,509.0
Croc Break,Sandwich,70.0,5.7,17.0,4.4,465.0
Prince Pocket - Biscuits Fourrés Parfum Chocolat,Sandwich,68.0,6.5,17.5,4.2,465.0
Chocolate Os,Sandwich,62.0,6.6,24.0,4.1,498.8
Minis Tartinades Thon Fromage Frais Ciboulette,Sandwich,30.0,10.0,12.0,1.4,273.0
Méga Jambon Emmental X3,Sandwich,27.0,10.0,13.0,3.7,272.0
Biscuits Fourrés Chocolat Au Lait,Sandwich,71.0,7.5,16.0,3.4,465.0
Sandwich Nature- Natuur X8,Sandwich,49.5,8.1,9.0,4.9,321.0
Bn Gout Chocolat,Sandwich,69.0,6.5,17.0,3.9,463.0
Cocoa Sandwich Biscuits With Vanilla Flavoured Crème Filling,Sandwich,65.11,5.11,22.0,0.0,484.4
Chessy Chèvre Pané Oignons Frits,Sandwich,37.0,7.6,14.0,2.2,310.0
Pain Sandwich Complet,Sandwich,0.0,0.0,0.0,0.0,0.0
Goûter Fourrés Cacao,Sandwich,67.0,8.6,19.0,3.2,480.0
Les Minis Maxi Moelleux Poulet Emmental,Sandwich,29.0,12.0,10.0,0.0,257.0
Coeur De Cereales Fruits Rouge Et Yaourt,Sandwich,63.0,8.0,15.0,8.0,435.0
Sandwich Le Suédois Végétal,Sandwich,34.0,9.7,7.0,4.0,244.0
Wrap De Poulet Pané Cheddar Sauce Big Burger,Sandwich,36.0,9.7,11.0,1.8,285.0
Chèvre Tranches,Sandwich,0.0,21.0,34.0,0.0,392.0
Wraps Blé Nature,Sandwich,53.2,9.1,5.2,1.6,299.0
Fourrés Cacao,Sandwich,64.0,8.4,20.0,4.3,476.0
Sandwich Le Méga Poulet Rôti Sauce Kébab,Sandwich,28.0,9.8,12.0,3.2,266.0
Körner Balance Sandwich,Sandwich,39.5,8.68,6.05,6.05,257.9
Club Sandwich Thon Crudités,Sandwich,22.0,9.6,6.2,3.7,190.2
Spécial Sandwich Complet,Sandwich,47.2,10.5,3.3,4.9,261.0
Harry Dinkel Sandwich 4071800047812 Dinkelsandwichbrot,Sandwich,42.0,10.0,3.0,5.1,244.7
Sandwich Chocolate,Sandwich,63.0,5.7,21.0,6.5,477.0
Pain De Mie Sandwich Nature,Sandwich,49.9,7.1,5.1,3.0,278.2
Vitalday Sandwich De Avena Con Chocolate,Sandwich,61.0,7.2,18.0,9.0,447.0
Wrap Poulet Rôti Crudités,Sandwich,30.0,8.2,11.0,1.9,256.0
Ghani,Yogurt,13.3,3.2,1.6,0.0,80.0
Kéfir Natural Sabor Suave,Yogurt,5.1,3.9,4.2,0.0,74.0
Yogurt Greek Style,Yogurt,3.2,4.6,10.0,0.5,96.2
Dan Up,Yogurt,8.65,1.41,0.71,0.0,46.5
Danone-Peche,Yogurt,14.3,3.4,2.7,0.0,95.0
Dessert Gourmand Choco,Yogurt,31.67,3.33,10.0,1.67,233.3
Framboise Délicate,Yogurt,12.1,3.8,2.8,0.0,90.0
Activia Ananas Fraise,Yogurt,9.6,2.7,1.2,0.0,60.0
Strawberry Yogurt,Yogurt,8.1,3.6,2.1,1.0,68.0
ديليسيوس بيرلي,Yogurt,19.4,6.4,6.7,0.0,163.6
Yogurt Bnine Banana,Yogurt,14.3,3.9,1.7,0.0,88.1
Griego Ligero Natural,Yogurt,4.7,5.8,2.0,0.0,60.0
Yaourt Grec 10%Mg,Yogurt,3.8,6.5,10.0,0.0,134.0
Actimel,Yogurt,13.0,1.9,1.8,0.0,74.0
Greek Style Natural Light 2% Fat,Yogurt,4.0,6.0,2.0,0.0,58.4
Creamy Greek Style Natural Yogurt,Yogurt,4.6,4.1,10.0,0.5,126.4
Ladid,Yogurt,17.5,3.2,1.4,0.0,95.0
Yogur Natural Al Estilo Griego,Yogurt,3.9,3.9,10.8,0.0,103.2
"Alpro Fermentiertes Kokosnussprodukt, Natur, Absolutely 350G",Yogurt,4.5,0.6,6.0,0.0,77.0
Natural Con Coco,Yogurt,2.4,3.9,3.0,0.8,54.0
Yogur Griego Ligero,Yogurt,4.7,5.8,2.0,0.0,48.0
Hipro Saveur Vanille-Cookie,Yogurt,5.5,8.3,0.5,0.0,60.0
Yaourt Chèvre Nature,Yogurt,4.2,4.1,4.9,0.0,77.0
Daya Ananas Coco,Yogurt,15.1,2.4,1.2,0.0,74.0
Total 0% Fat,Yogurt,3.0,10.3,0.0,0.0,54.0
Fermented Coconut Yoghurt Alternative,Yogurt,5.9,1.2,10.0,1.0,71.1
Activia,Yogurt,9.9,2.7,1.2,1.5,64.0
Nature,Yogurt,4.28,3.5,1.9,0.0,48.0
Kéfir Saveur Myrtille,Yogurt,8.0,3.1,3.1,0.0,72.0
Kefir Natural Fermented Yogurt,Yogurt,5.4,4.7,2.1,0.0,64.0
Greek 0% Fat Authentic Greek Yogurt,Yogurt,3.9,10.4,0.0,0.0,57.0
Jnane,Yogurt,15.0,3.8,3.2,0.0,102.0
Total 5% Fat Greek Yogurt,Yogurt,3.0,9.0,5.0,0.0,93.0
Skyr Nature,Yogurt,3.6,9.5,0.5,0.0,57.0
Skyr À Boire Goût Fruits Rouges,Yogurt,8.7,6.0,0.2,0.0,59.6
À La Grecque Greek Style Nature-Natural,Yogurt,1.4,5.7,3.3,0.0,40.8
Ghilal Panaché,Yogurt,14.0,1.4,0.7,0.0,68.0
Yaourts Brassés Aux Fruits Fraise,Yogurt,18.8,0.0,2.7,0.0,116.0
Skyr Natural Fat Free Icelandic Style Yogurt,Yogurt,4.0,10.0,0.5,0.0,60.0
Ghilal,Yogurt,16.0,3.5,3.0,0.0,83.4
Kiri 7.5G Protein Creamy Cheese With Fresh Yogurt Greek Style,Yogurt,4.0,7.5,18.0,0.0,208.0
Greek 10% Fat Authentic Yogurt,Yogurt,4.6,5.9,10.0,0.0,132.0
Danone 0%,Yogurt,8.1,3.4,0.1,0.0,48.2
Brasse Abricot,Yogurt,18.0,3.5,2.8,0.0,107.0
Brassé Ananas,Yogurt,18.0,3.5,2.8,0.0,107.0
Yaourt De Chevre,Yogurt,16.0,4.0,3.0,0.0,108.0
Yaourt À La Grecque Nature,Yogurt,3.3,3.3,8.9,0.0,107.0
Organic Greek Yogurt Plain,Yogurt,4.12,10.59,0.0,0.0,58.8
Yaourt Ferme,Yogurt,15.5,3.8,3.0,0.0,100.0
Greek Style Natural,Yogurt,4.9,4.5,8.3,0.0,25.6
Yaourt Coco,Yogurt,15.5,3.8,3.0,0.0,100.0
Albane,Yogurt,8.7,4.2,3.3,0.0,81.0
Yaourt Brassé Sans Sucre,Yogurt,6.7,3.0,3.0,0.0,66.0
Yaourt Brassé Nature,Yogurt,4.7,3.9,3.3,0.0,64.0
Activia Bifidus Saveur Noix De Coco Sans Arome Artificiel 125 Gx 4,Yogurt,12.6,3.6,3.1,0.0,93.0
بروتين فراولة,Yogurt,7.4,8.5,0.6,0.0,70.0
Skyr Vanille,Yogurt,10.9,7.8,0.5,0.0,79.0
Jao! تروبيكال,Yogurt,11.2,2.6,1.2,0.0,66.0
لينيا,Yogurt,7.0,4.9,0.0,0.0,48.0
Kefir,Yogurt,4.0,4.0,1.5,0.0,46.0
Yogo Fraise,Yogurt,55.14,1.99,6.9,6.3,95.0
Le Yaourt Nature,Yogurt,8.0,4.2,3.3,0.0,78.0
Dessert Végétal Citron Vert,Yogurt,10.1,3.6,2.0,0.6,77.0
Skyr Bio Vanille,Yogurt,8.9,9.1,0.1,0.0,73.0
Kefir Yogurt Original,Yogurt,7.4,6.0,2.0,0.0,72.0
Greek Yogurt Nonfat Plain,Yogurt,4.0,9.5,0.0,0.0,52.9
Yaourt Stracciatella Jockey,Yogurt,18.1,4.9,6.9,0.2,155.0
Douceur De Fromage,Yogurt,9.4,8.0,3.0,0.0,97.0
Yogurt,Yogurt,4.9,4.2,3.8,0.0,72.0
Yaourt Nature À La Grecque 4X150G,Yogurt,3.5,2.9,8.5,0.5,102.0
Linea 0% - Milk,Yogurt,0.0,3.1,0.0,0.0,32.0
Skyr À Boire Fruits Exotiques,Yogurt,8.7,6.0,0.2,0.0,24.1
6111126001858,Yogurt,15.0,3.5,2.9,0.0,100.1
Raspberry-Pomegranate Milk Product,Yogurt,6.0,10.0,0.3,0.0,65.0
Smoozy,Yogurt,14.2,2.2,2.0,0.0,84.0
Yaourt Nature,Yogurt,4.2,4.0,1.1,0.0,43.0
Greek Style Yogurt,Yogurt,4.2,3.7,7.5,0.0,99.0
High Protein Quark Dessert Raspberry,Yogurt,3.4,12.6,0.4,0.4,68.0
Biscotti Allo Yogurt Dolcesenza,Yogurt,71.0,8.5,15.0,4.0,421.0
Yaourt Brassé Sport Mangue,Yogurt,5.4,8.5,0.6,0.0,61.0
Chergui,Yogurt,6.2,3.4,7.8,0.0,111.0
Actimel Original Nature,Yogurt,10.8,3.0,1.6,0.0,73.0
Yaourt Ferme Vanille,Yogurt,15.5,3.8,3.0,0.0,100.0
6111126004347,Yogurt,13.0,3.2,2.9,0.0,90.9
Raib Du Bled,Yogurt,12.4,3.9,3.3,0.0,93.0
Greek Natural Yogurt 10% Fat,Yogurt,4.5,6.0,10.0,0.0,132.0
Yaourt À La Vanille,Yogurt,14.0,3.0,3.0,0.0,95.0
Yop Parfum Vanille,Yogurt,10.6,3.0,0.8,0.0,66.0
Pain De Mie Bio,Bread,47.0,8.1,4.2,4.9,268.0
14 Maxi Tranches Complet Sans Sucres Ajoutés,Bread,42.0,8.5,5.2,7.5,264.0
Pain De Mie Bio Grandes Tranches Céréales & Graines 500G,Bread,46.0,8.6,8.3,5.1,303.0
Harrys Brioche Tressee Nature Au Sucre Perle Sans Additifs 500G,Bread,49.0,8.6,13.0,4.5,356.0
Pain De Mie Grandes Tranches Toastiligne Complet,Bread,39.0,10.0,1.9,6.2,226.0
Tartines Céréales & Graines 450G,Bread,39.0,10.0,10.0,5.8,298.0
Biscottes 6 Céréales,Bread,67.0,13.0,7.6,5.2,392.9
Blé Complet Wraps,Bread,48.1,9.14,6.03,5.17,294.8
White Ciabattin,Bread,44.1,10.1,0.8,2.9,229.0
Krisprolls Complets,Bread,70.0,12.0,6.2,7.7,397.0
Grilletine Blé Complet,Bread,65.0,13.0,10.0,6.7,432.0
Golden,Bread,76.0,6.3,14.5,0.2,461.0
Sliced White Sourdough Bread With Grains & Seeds,Bread,40.2,10.7,2.7,4.7,237.0
Maestro Cereale - Pain Aux Céréales Tranché,Bread,38.0,4.5,6.6,9.9,249.0
Fines Tartines Farine De Seigle,Bread,41.0,7.1,1.6,8.7,224.0
Proper Sourdough,Bread,46.4,9.7,0.7,3.0,237.8
Maestro Classic - Pain De Mie Tranché Nature,Bread,44.0,3.6,3.6,8.0,232.0
Tartines P’Tit Dej,Bread,44.0,10.0,4.3,6.2,270.0
Fibra & Sésamo,Bread,60.1,13.0,7.6,24.7,395.8
Finn Crisp,Bread,61.0,10.0,2.6,20.0,350.0
Biscottes,Bread,29.0,4.6,2.9,1.4,165.0
Pain Complet Seigle,Bread,37.0,4.6,1.3,10.0,198.0
Maestro Vital - Pain Aux Graines Tranché,Bread,36.0,4.5,9.2,8.8,262.0
Wasa Tartine Croustillante Sensation Aux Graines De Chia & Touche De Sel 245G,Bread,58.0,10.0,3.0,20.0,339.0
Harrys Brioche Tranchee Pepites De Chocolat Sans Additif 485G,Bread,50.0,7.5,13.0,5.2,357.0
Seeded Sourdough Bread,Bread,42.93,8.62,3.79,5.52,244.8
Pain De Mie Bio Petites Tranches Complet & Levain Sans Sucres Ajoutés 280G,Bread,42.0,10.0,4.6,5.9,261.0
Pan De Molde Con 52% Centeno,Bread,35.0,10.0,7.8,7.5,265.0
Jason'S Sourdough,Bread,44.8,9.33,1.09,3.58,116.7
Organic Bread 21 Whole Grains And Seeds,Bread,22.0,6.0,1.5,4.0,255.8
Everyday White Rolls,Bread,48.8,10.0,0.7,1.8,245.0
Grilletine Froment,Bread,70.0,12.0,9.6,6.3,427.0
Harrys Pain De Mie Extra Moelleux Complet Sans Sucres Ajoutés 280G,Bread,47.0,8.0,4.6,6.0,273.0
Seed Sensations Seven Seeds,Bread,42.0,10.0,6.6,5.3,277.3
Original Crumpets,Bread,35.3,6.0,0.8,2.0,176.4
Weizen Toast,Bread,51.0,8.3,4.2,2.7,284.0
